"pkg_name", "pkg_version", "pkg_url", "pkg_source","git_commit"
"rtables", "0.1.2", "https://github.com/Roche/rtables/archive/v0.1.2.tar.gz", "sourcecode", ""
"cyclocomp", "1.1.0", "https://github.com/MangoTheCat/cyclocomp.git", "git", "6156a12c853ac70a428ef4d258dff9a81ade0d52"
