"pkg_name","pkg_version","url","sourcetype","commit_sha"
"magrittr","1.5","https://cran.microsoft.com/snapshot/2020-03-09/src/contrib/magrittr_1.5.tar.gz","build",""
"withr","2.1.2","https://cran.microsoft.com/snapshot/2020-03-09/src/contrib/withr_2.1.2.tar.gz","build",""
"glue","1.3.1","https://cran.microsoft.com/snapshot/2020-03-09/src/contrib/glue_1.3.1.tar.gz","build",""
